names;image_links;prices;ratings;merchants
Handphone HP Samsung Flip Lipat Caramel GT-E1272 DUAL SIM Hitam Putih;https://images.tokopedia.net/img/cache/500-square/attachment/2019/11/8/157314716567518/157314716567518_4934a539-a63c-455b-910d-9b08626f34ce.png.webp?ect=4g;157000;4.7;Luckyaccgrosiran
Infinix Hot 11 play Garansi Resmi - 4/64 Blue;https://images.tokopedia.net/img/cache/500-square/VqbcmM/2021/11/26/fd6b08a5-215b-4591-9d78-b2749e143003.jpg.webp?ect=4g;1529000;5;duniagadgetku
"Infinix Hot 11 Play 4/64GB - Helio G35 - 6.82"" HD+ IPS Premium Display - Hijau";https://images.tokopedia.net/img/cache/500-square/VqbcmM/2021/12/2/0c072ef7-9bc7-4d9c-9a01-1bc4da9078c6.jpg.webp?ect=4g;1649000;5;Infinix Official Store
New Xiaomi redmi 4a Grey-2/16 Garansi Distributor 1 Tahun;https://images.tokopedia.net/img/cache/500-square/VqbcmM/2021/5/10/3523a4f5-d181-4333-9ee3-2f326a9b6182.jpg.webp?ect=4g;462000;4.8;INFINITITE SHOP
XIAOMI REDMI 9C RAM 4 64 RAM 3 32 REDMI 9A RAM 3 32 RAM 2 32 GRS RESMI - 9a 2/32, NONGIFT;https://images.tokopedia.net/img/cache/500-square/VqbcmM/2021/6/5/317c94f6-dcd1-4bec-b0bc-946d4554d527.jpg.webp?ect=4g;1225000;4.9;ALFASTORE-
OPPO A3S RAM 2/16 GARANSI RESMI OPPO INDONESIA 1TH - Merah;https://images.tokopedia.net/img/cache/500-square/product-1/2018/8/10/2137360/2137360_1b9ca4f0-07d5-463b-a7e1-cb3e8baa105c_1920_1920.jpg.webp?ect=4g;1449900;4.9;189 CELL
Apple iPhone 7 128gb Second mulus ex internasional,fullset;https://images.tokopedia.net/img/cache/500-square/VqbcmM/2021/10/29/26b9cb72-878e-4af9-858f-2713cae1b97b.png.webp?ect=4g;2235000;4.9;cellularline168
Hp Samsung Galaxy A52 8/128 8/256 RAM 8 ROM 128 256 GB 8GB 128GB 256GB - Awesome Black,A52 8/128 GB;https://images.tokopedia.net/img/cache/500-square/VqbcmM/2022/6/23/d1b91a28-ac4e-4fbd-8bc6-fdbea9cf176b.jpg.webp?ect=4g;4489000;4.9;SUPER_GADGET
"HDC IPHONE 8+ 5.5"" PRO ULTIMATE REAL 4G 64BIT FINGERPRINT REPLIKA COPY - Hitam";https://images.tokopedia.net/img/cache/500-square/product-1/2017/12/2/17590042/17590042_0d78ffd5-73da-4229-a8d2-e647c5f04abf_960_1280.jpg.webp?ect=4g;1260000;4.7;sobadzhop
Samsung Galaxy A03 RAM 4/64 GB - Kamera 48 MP - Black 4/64GB;https://images.tokopedia.net/img/cache/500-square/VqbcmM/2022/2/17/3f1f68bf-d4c7-4dd2-a811-bf7cfb6159ae.jpg.webp?ect=4g;1630000;4.9;TMB Ponsel
